>>>>> Detector image results analysis <<<<<

imgs/imgsDB/carsgraz_029.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.884144
imgs/imgsDB/carsgraz_224.image.png -> Precision: 0.886006 | Recall: 0.114326 | Accuracy: 0.768861
imgs/imgsDB/carsgraz_004.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.96403
imgs/imgsDB/carsgraz_031.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.886693
imgs/imgsDB/carsgraz_206.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.988164
imgs/imgsDB/carsgraz_351.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.387103
imgs/imgsDB/carsgraz_326.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.981686
imgs/imgsDB/carsgraz_313.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.993678
imgs/imgsDB/carsgraz_127.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.899115
imgs/imgsDB/carsgraz_268.image.png -> Precision: 0.70589 | Recall: 0.341531 | Accuracy: 0.832425
imgs/imgsDB/carsgraz_012.image.png -> Precision: 0.671391 | Recall: 0.349385 | Accuracy: 0.915137
imgs/imgsDB/carsgraz_334.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.912386
imgs/imgsDB/carsgraz_256.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.622839
imgs/imgsDB/carsgraz_405.image.png -> Precision: 1 | Recall: 0.154842 | Accuracy: 0.856722
imgs/imgsDB/carsgraz_119.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.991517
imgs/imgsDB/carsgraz_065.image.png -> Precision: 0.709559 | Recall: 0.570506 | Accuracy: 0.921146
imgs/imgsDB/carsgraz_037.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.938639
imgs/imgsDB/carsgraz_361.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.974971
imgs/imgsDB/carsgraz_281.image.png -> Precision: 0.534276 | Recall: 0.729684 | Accuracy: 0.844388
imgs/imgsDB/carsgraz_183.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.982679
imgs/imgsDB/carsgraz_057.image.png -> Precision: 0.806414 | Recall: 0.672024 | Accuracy: 0.88098
imgs/imgsDB/carsgraz_323.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.949697
imgs/imgsDB/carsgraz_130.image.png -> Precision: 0.31684 | Recall: 0.906224 | Accuracy: 0.832601
imgs/imgsDB/carsgraz_091.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.989824
imgs/imgsDB/carsgraz_364.image.png -> Precision: 0.914308 | Recall: 0.340158 | Accuracy: 0.938411
imgs/imgsDB/carsgraz_342.image.png -> Precision: 0.889398 | Recall: 0.350595 | Accuracy: 0.827493
imgs/imgsDB/carsgraz_063.image.png -> Precision: 0.293793 | Recall: 0.596182 | Accuracy: 0.836497
imgs/imgsDB/carsgraz_157.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.936351
imgs/imgsDB/carsgraz_120.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.960775
imgs/imgsDB/carsgraz_237.image.png -> Precision: 1 | Recall: 0.239635 | Accuracy: 0.873079
imgs/imgsDB/carsgraz_107.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.750651
imgs/imgsDB/carsgraz_005.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.973421
imgs/imgsDB/carsgraz_347.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.732539
imgs/imgsDB/carsgraz_125.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.900055
imgs/imgsDB/carsgraz_296.image.png -> Precision: 1 | Recall: 0.182172 | Accuracy: 0.828844
imgs/imgsDB/carsgraz_024.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.986003
imgs/imgsDB/carsgraz_190.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.980257
imgs/imgsDB/carsgraz_056.image.png -> Precision: 0.477508 | Recall: 0.539232 | Accuracy: 0.895898
imgs/imgsDB/carsgraz_090.image.png -> Precision: 0.0403929 | Recall: 0.204646 | Accuracy: 0.871592
imgs/imgsDB/carsgraz_030.image.png -> Precision: 0.614784 | Recall: 0.0585274 | Accuracy: 0.833037
imgs/imgsDB/carsgraz_302.image.png -> Precision: 1 | Recall: 0.252888 | Accuracy: 0.590088
imgs/imgsDB/carsgraz_307.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.985313
imgs/imgsDB/carsgraz_038.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.929697
imgs/imgsDB/carsgraz_136.image.png -> Precision: 0.823203 | Recall: 0.357198 | Accuracy: 0.887035
imgs/imgsDB/carsgraz_196.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.909271
imgs/imgsDB/carsgraz_259.image.png -> Precision: 1 | Recall: 0.156237 | Accuracy: 0.79748
imgs/imgsDB/carsgraz_019.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.915173
imgs/imgsDB/carsgraz_297.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.810905
imgs/imgsDB/carsgraz_011.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.947129
imgs/imgsDB/carsgraz_390.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.953978
imgs/imgsDB/carsgraz_162.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.846842
imgs/imgsDB/carsgraz_068.image.png -> Precision: 0.0201605 | Recall: 0.094657 | Accuracy: 0.848714
imgs/imgsDB/carsgraz_035.image.png -> Precision: 0.389278 | Recall: 0.907473 | Accuracy: 0.952845
imgs/imgsDB/carsgraz_385.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.9961
imgs/imgsDB/carsgraz_295.image.png -> Precision: 0.485272 | Recall: 0.365804 | Accuracy: 0.847445
imgs/imgsDB/carsgraz_194.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.903812
imgs/imgsDB/carsgraz_198.image.png -> Precision: 0 | Recall: 0 | Accuracy: 0.961605
